Termo/Term/Termino dwc,Definição/Definition/Definición,Exemplo/Example/Ejemplo,Comentários/Comments/Comentarios,Vocabulário Controlado,Mandatory,Link
usedTo,"Pt: Refere-se à finalidade ou propósito de uso do táxon (uso passado, atual ou contínuo). ","Pt: Verificar aba ""usedTo"".","Pt: Se o táxon estiver associado a múltiplos usos, cada uso deve ser documentado separadamente.",Yes,Yes,
,"En: Refers to the purpose or intended use of the táxon (past, current, or ongoing use).","En: Check the ""usedTo"" tab.","En: If the taxon is associated with multiple uses, each use should be documented separately.",,,
,"Es: Se refiere a la finalidad o propósito de uso del taxón (uso pasado, actual o continuo).","Es: Verificar la pestaña ""usedTo""","Es: Si el taxón está asociado a múltiples usos, cada uso debe documentarse por separado.",,,
usedToRemarks,"Pt: Expande a explicação do propósito de uso do táxon, descrevendo o uso de forma mais específica.",Pt: Ajuda a aliviar dores de cabeça.,Pt: Este elemento deve ser documentado junto com o elemento usedTo.,No,No,
,"En: Expands the explanation of the purpose of use of the taxon, describing the use in a more specific way.",En: Helps relieve headaches.,En: This element must be documented together with the usedTo element.,,,
,"Es: Expande la explicación del propósito de uso del taxón, describiendo el uso de forma más específica.",Es: Ayuda a aliviar los dolores de cabeza.,Es: Este elemento debe documentarse junto con el elemento usedTo.,,,
organismPart,"Pt: A parte específica do táxon à qual o nome de uso se refere. Se o táxon estiver associado a múltiplos usos, cada parte deve ser documentada em uma linha separada correspondente ao mesmo taxonID.","Pt: Verificar a aba ""organismPart"".",,Yes,Yes/No?,
,"En: The specific part of the táxon to which the use name refers. If the taxon is associated with multiple uses, each part should be documented in a separate row corresponding to the same taxonID.","En: Check the ""organismPart"" tab.",,,,https://rs.gbif.org/extension/gbif/1.0/vernacularname.xml https://github.com/tdwg/dwc/issues/3
,"Es: La parte específica del taxón a la que se refiere el nombre de uso. Si el taxón está asociado a múltiples usos, cada parte debe documentarse en una fila separada correspondiente al mismo taxonID.","Es: Verificar la pestaña ""organismPart""",,,,
organismPartDescription,Pt: A descrição da parte específica do táxon a qual se aplica o uso do táxon.,Pt: Frutos maduros. ,"Pt: Pode incluir uma descrição tão longa ou curta quanto se desejar, já que é um campo aberto; o importante é que complemente o campo ""organismPart"".",No,No,
,En: The description of the specific part of the táxon to which the use applies.,En: Ripe fruits.,"En: It can include a description as long or as short as desired, since it is an open field; the important thing is that it complements the ""organismPart"" field.",,,
,Es: La descripción de la parte específica del taxón a la que se aplica el uso.,Es: Frutos maduros.,"Es: Puede incluir una descripción tan larga o corta como se desee, ya que es un campo abierto; lo importante es que complemente el campo ""organismPart"".",,,
usedForm,"Pt: A forma como a parte específica do táxon é utilizada, sua preparação ou método de aplicação. Se a mesma parte estiver associada a múltiplos usos, cada forma de uso deve ser documentada em uma linha separada correspondente ao mesmo taxonID e organismPart.",Pt: As folhas são colocadas em água fervente e tomadas como infusão.,"Pt: Uma única parte pode ter múltiplos usos. Portanto, recomenda-se documentar apenas uma forma de uso por linha, utilizando o mesmo taxonID e organismPart.",No,Yes/No?,Pt: https://etnovocab.jbrj.gov.br/vocab/index.php
,"En: The form in which the specific part of the táxon is used, its preparation, or application method. If the same part is associated with multiple uses, each form of use should be documented in a separate row corresponding to the same taxonID and organismPart.",En: The leaves are placed in boiling water and taken as an infusion.,"En: A single part may have multiple uses. Therefore, it is recommended to document only one use form per row, using the same taxonID and organismPart.",,,
,"Es: La forma en que se utiliza la parte específica del taxón, su preparación o método de aplicación. Si la misma parte está asociada a múltiples usos, cada forma de uso debe documentarse en una fila separada correspondiente al mismo taxonID y organismPart.",Es: Las hojas se colocan en agua hirviendo y se toman como infusión.,"Es: Una sola parte puede tener múltiples usos. Por lo tanto, se recomienda documentar solo una forma de uso por fila, utilizando el mismo taxonID y organismPart.",,,
usedFormDescription,"Pt: Descrição detalhada da forma de uso da parte específica do táxon, incluindo etapas de preparação, dosagem, frequência, modo de aplicação e quaisquer variações culturais ou regionais relevantes. Esta descrição pode expandir a informação registrada em usedForm.","Pt: Pt: As folhas e cascas da planta usadas no banho devem esfriar de um dia para o outro e o banho deve ser tomado antes do amanhecer. Depois do banho, deve-se rezar a cabeça.",,No,No,Pt: https://etnovocab.jbrj.gov.br/vocab/index.php
,"En: A detailed description of the way the specific part of the taxon is used, including preparation steps, dosage, frequency, method of application, and any relevant cultural or regional variations. This description can expand on the information recorded in usedForm.","En: The leaves and bark of the plant used for the bath should be left to cool overnight, and the bath should be taken before sunrise. After the bath, a prayer should be said over the head.",,,,
,"Es: Una descripción detallada de la forma en que se utiliza la parte específica del taxón, incluyendo pasos de preparación, dosis, frecuencia, método de aplicación y cualquier variación cultural o regional relevante. Esta descripción puede ampliar la información registrada en usedForm.","Es: Las hojas y la corteza de la planta utilizadas para el baño deben dejarse enfriar durante la noche, y el baño debe realizarse antes del amanecer. Después del baño, se debe rezar sobre la cabeza.",,,,
usedByHolder,"Pt: Identifica a comunidade, grupo, instituição ou entidade que detém o conhecimento tradicional associado ao táxon e que pode ou não utilizar o recurso biológico ou o benefício derivado.",Pt: Povo indígena Tiriyó,"Pt: Recomenda-se não incluir nomes de pessoas, a fim de evitar o manejo de dados sensíveis.",No,Yes/No?,
,"En: Identifies the community, group, institution, or entity that holds the traditional knowledge associated with the taxon and that may or may not use the biological resource or the derived benefit.","En: Tiriyó Indigenous people, Pataxó Indigenous people",En: It is recommended not to include people's names in order to avoid handling sensitive data.,,,
,"Es: Identifica a la comunidad, grupo, institución o entidad que posee el conocimiento tradicional asociado al taxón y que puede o no utilizar el recurso biológico o el beneficio derivado.",Es: Resguardo Indígena Pialapí Pueblo Viejo,"Es: Se recomienda no incluir nombres de personas, para evitar el manejo de datos sensibles.",,,
usedByType,"Pt: A categoria ou segmento da comunidade, grupo ou organização que faz uso do táxon para um ou mais propósitos.","Pt: Verificar aba ""usedByType_countries"".","Pt: Designa o tipo de ator, a categoria sociocultural reconhecida nacionalmente ou internacionalmente, mas não o grupo específico.",Yes,Yes,
,"En: The category or segment of the community, group, or organization that makes use of the taxon for one or more purposes.","En: Check the ""usedByType_countries"" tab.","En: Designates the type of actor, the socio-cultural category recognized nationally or internationally, but not the specific group.",,,
,"Es: La categoría o segmento de la comunidad, grupo u organización que hace uso del taxón para uno o varios fines.","Es: Verificar la pestaña ""usedByType_countries""","Es: Designa el tipo de actor, la categoría sociocultural reconocida a nivel nacional o internacional, pero no el grupo específico.",,,
usedByDescription,Pt: Descrição do usuário dentro da comunidade que utiliza o organismo para um ou múltiplos propósitos.,"Pt: Mulheres adultas, líderes, homens.",,No,No,
,En: Description of the user within the community who uses the organism for one or multiple purposes.,"En: Adult women, leaders, men.",,,,
,Es: Descripción del usuario dentro de la comunidad que utiliza el organismo para uno o varios fines.,"Es: Mujeres adultas, lideres, hombres.",,,,
sourceType,Pt: Refere-se à categoria da fonte por meio da qual obteve-se a informação sobre o táxon.,"Pt: Verificar aba ""sourceType"".",,Yes,Yes,
,En: Refers to the category of the source through which the information about the taxon was obtained.,"En: Check the ""sourceType"" tab.",,,,
,Es: Se refiere a la categoría de la fuente por medio de la cual se obtuvo la información sobre el taxón.,"Es: Verificar la pestaña ""sourceType""",,,,
sourceDescription,Pt: Descrição da fonte por meio da qual se obteve a informação sobre o uso. ,Pt: URL da revista ou fonte bibliográfica; nome da pessoa que fornece a informação.,,No,Yes/No?,
,En: Description of the source through which the information about the use is obtained.,En: Journal or bibliographic source URL; name of the person providing the information.,,,,
,Es: Descripción de la fuente por medio de la cual se obtiene la información sobre el uso.,Es: URL de la revista o fuente bibliográfica; nombre de la persona que provee la información.,,,,
usedWhere,Pt: Refere-se a uma região espacial ou local específico onde o táxon é ou era usado.,"Pt: Parque Indígena do Tumucumaque, cidade de Piaçabuçu (Alagoas, Brasil).",,No,Yes,
,En: Refers to a spatial region or specific place where the taxon is or was used.,En: Colombian Amazon rainforest.,,,,
,Es: Se refiere a una región espacial o un lugar específico donde se utiliza o utilizava el taxón.,"Es: Región Orinoquía, Parque Nacional Natural El Tuparro.",,,,
temporal | UsedWhen,Pt: Contexto temporal em que o organismo é ou era usado. ,"Pt: Século 20, 1950. ",,No,Yes,https://rs.gbif.org/extension/gbif/1.0/vernacularname.xml
,En: Temporal context when organism is or was used.,"En: 20th Century, 1950",,,,
,Es: Contexto temporal en el que el organismo es o era utilizado.,"Es: Siglo 20, 1950.",,,,
locality,Pt: Descrição específica da área de onde a informação foi coletada. ,"Pt: Quilombo Baía Formosa, Búzios, RJ, Brasil.","Pt: A descrição específica da área de onde a informação foi coletada é importante pois o conhecimento tradicional pode ter contextos regionais muito específicos. Assim, um nome vernacular em uma área pode se referir a uma espécie diferente em outra.",No,Yes,https://rs.gbif.org/extension/gbif/1.0/vernacularname.xml
,En: The specific description of the area where the information was collected. ,"En: Pataxó Indigenous Village, Porto Seguro, BA, Brasil.","En: The specific description of the area where the information was collected is important because traditional knowledge may have very specific regional contexts. Thus, a vernacular name in one area may refer to a different species in another.",,,
,Es: Descripción específica del área donde se recopiló la información.,"Es: Parque Nacional Natural El Tuparro, Colômbia.","Es: La descripción específica del área donde se recopiló la información es importante porque el conocimiento tradicional puede tener contextos regionales muy específicos. Así, un nombre vernáculo en un área puede referirse a una especie diferente en otra.",,,
recordedBy,"Pt: Identifica a pessoa, pessoas, grupos ou organizações responsáveis por registrar a ocorrência original de uso do táxon.",Pt: Nome e nome do pesquisador.,"Pt: Uma lista (concatenada e separada por vírgula) de nomes de pessoas, grupos ou organizações responsáveis pelo registro.",No,Yes,
,"En: Identifies the person, people, groups, or organizations responsible for recording the original occurrence of the taxon use.",En: Eduardo Dalcin ,"En: A list (concatenated and separated by a comma) of names of people, groups, or organizations responsible for the recording. ",,,
,"Es: Identifica a la persona, personas, grupos u organizaciones responsables de registrar la ocurrencia original del uso del taxón.",Es: Eduardo Dalcin,"Es: Una lista (concatenada y separada por coma) de nombres de personas, grupos u organizaciones responsables del registro. ",,,
eventDate,"Pt:  A data ou intervalo de datas em que a informação foi documentada, independentemente de quando o fenômeno, prática ou conhecimento associado ocorreu originalmente.","Pt: 1963-03-08 T14:07-06:00 → 8 de março de 1963, às 14:07 ou logo depois e antes das 14:08, no fuso horário seis horas atrás do UTC.

1900/1909 → algum momento dentro do intervalo entre o início do ano de 1900 e antes do ano de 1909.

2007-11-13/15 → algum momento dentro do intervalo entre o início de 13 de novembro de 2007 e antes de 15 de novembro de 2007.",Pt: A prática recomendada é usar uma data que esteja em conformidade com a ISO 8601-1:2019.,No,Yes,
,"En: The date or range of dates when the information was documented, regardless of when the associated phenomenon, practice, or knowledge originally occurred.","En: 1963-03-08T14:07-06:00 → March 8, 1963, at 2:07 pm or shortly after and before 2:08 pm, in the time zone six hours behind UTC.

1900/1909 → some time within the interval between the beginning of the year 1900 and before the year 1909.

2007-11-13/15 → some time within the interval between the beginning of November 13, 2007, and before November 15, 2007.",En: Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,,,https://www.iso.org/standard/70907.html
,"Es: La fecha o el rango de fechas en que se documentó la información, independientemente de cuándo ocurrió originalmente el fenómeno, la práctica o el conocimiento asociado.","Es: 1963-03-08T14:07-06:00 → 8 de marzo de 1963, a las 14:07 o poco después y antes de las 14:08, en la zona horaria seis horas detrás de UTC.

1900/1909 → algún momento dentro del intervalo entre el inicio del año 1900 y antes del año 1909.

2007-11-13/15 → algún momento dentro del intervalo entre el inicio del 13 de noviembre de 2007 y antes del 15 de noviembre de 2007.",Es: La práctica recomendada es usar una fecha que cumpla con la norma ISO 8601-1:2019.,,,
language,Pt: Idioma em que está registrada a informação.,Pt: 'pt-BR': 'Portuguese (Brazil)',"Pt: A prática recomendada é usar um vocabulário controlado, como o RFC 5646.",Yes/No?,Yes,
,En: Language in which the information is recorded.,En: 'en-ZA': 'English (South Africa)'; 'en-CB': 'English (Caribbean)',En: Recommended best practice is to use a controlled vocabulary such as RFC 5646.,,,En: https://gist.github.com/msikma/8912e62ed866778ff8cd
,Es: Idioma en el que está registrada la información.,Es:  'es-CO': 'Spanish (Colombia)'; 'es-AR': 'Spanish (Argentina)',"Es: La práctica recomendada es utilizar un vocabulario controlado, como el RFC 5646.",,,
references,"Pt: Um recurso relacionado ao uso do táxon que é referenciado, citado ou indicado na informação coletada.",Pt: ,Pt: ,,No,
,"En: A resource related to the use of the taxon that is referenced, cited, or indicated in the collected information.",En: ,En: ,,,
,"Es: Un recurso relacionado con el uso del taxón que se referencia, cita o indica en la información recopilada.",Es: ,Es: ,,,
associatedMedia,"Pt: Uma lista de identificadores, como publicação, identificador único global (ORCID, DOI etc), URI e outros, de mídias associadas à informação sobre o uso do táxon.",Pt: ,Pt: ,,No,
