,termo dwc,Vocabulário Controlado,Definição/ Definition/ Definición,Exemplos
1,sourceType,Pt: Publicação acadêmica,"Pt: Trabalho de pesquisa acadêmica, geralmente revisado por pares, divulgado em formato de artigos científicos, livros ou capítulos de livros, relatórios técnicos, trabalhos de conclusão de curso (stricto sensu).",PT: Artigo científico; capítulo de livro acadêmico; tese; dissertação; entrevista publicada em artigo acadêmico.
,,En: Scholarly publication,"En: Academic research work, generally peer-reviewed, published as scientific articles, books or book chapters, technical reports, or graduate-level dissertations (stricto sensu).",EN: Scientific article; academic book chapter; thesis; dissertation; interview published in an academic article.
,,Es: Publicación académica,"Es: Trabajo de investigación académica, generalmente revisado por pares, difundido en forma de artículos científicos, libros o capítulos de libros, informes técnicos o tesis de posgrado (stricto sensu).",ES: Artículo científico; capítulo de libro académico; tesis; disertación; entrevista publicada en un artículo académico.
2,sourceType,Pt: Publicação não acadêmica,"Pt: Material informativo (texto ou obra) divulgado fora dos canais formais de pesquisa, que geralmente não passa por revisão por pares, direcionado para o público em geral.",PT: Artigo de jornal; revista; blog; postagem em fórum; resenha; entrevista jornalística.
,,En: Non-academic publication,"En: Informational material (text or work) released outside formal research channels, usually not peer-reviewed, and intended for the general public.",EN: Newspaper article; magazine; blog; forum post; review; journalistic interview.
,,Es: Publicación no académica,"Es: Material informativo (texto u obra) difundido fuera de los canales formales de investigación, generalmente sin revisión por pares y dirigido al público en general.",ES: Artículo de periódico; revista; blog; publicación en foro; reseña; entrevista periodística.
3,sourceType,PT: Livro,"PT: Apresentação estruturada de informações, com textos e/ou imagens, que forma uma publicação (obra completa), impressa ou digital.",PT: Livro técnico; capítulos; seções; monografia; coletânea publicada como obra única.
,,EN: Book,"EN: A structured presentation of information, with text and/or images, forming a complete publication, either printed or digital.",EN: Technical book; monograph; collection published as a single volume.
,,ES: Libro,"ES: Presentación estructurada de información, con textos y/o imágenes, que constituye una publicación completa, impresa o digital.",ES: Libro técnico; monografía; colección publicada como volumen único.
4,sourceType,PT: Relatório ou documento técnico,"PT: Registro formal e detalhado, elaborado por organizações, governos ou pesquisadores, que apresenta resultados de um projeto, pesquisa ou processo específico, frequentemente fora do circuito de periódicos científicos.",PT: Relatório institucional; relatório de pesquisa; norma técnica; white paper.
